"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Jul 03 12:56:41 MSK 2025","Thu Jul 03 12:56:51 MSK 2025","10578","","tests.SwitchingBetweenSectionsConstructorTest","","tests.SwitchingBetweenSectionsConstructorTest","switchingSectionsFillingsToBunsTest","Переход к разделу Булки из раздела Начинки","Тест перехода между разделами в конструкторе бургера"
"passed","Thu Jul 03 12:53:56 MSK 2025","Thu Jul 03 12:54:11 MSK 2025","14654","","tests.GoToAccountTest","","tests.GoToAccountTest","GoToPersonalAccountWithAuthUserTest","Нажатие на кнопку Личный кабинет, если пользователь авторизован","Проверка перехода в Личный кабинет"
"failed","Thu Jul 03 12:56:19 MSK 2025","Thu Jul 03 12:56:29 MSK 2025","9696","","tests.SwitchingBetweenSectionsConstructorTest","","tests.SwitchingBetweenSectionsConstructorTest","switchingSectionsSaucesToFillingsTest","Переход к разделу Начинки из раздела Соусы","Тест перехода между разделами в конструкторе бургера"
"passed","Thu Jul 03 12:54:11 MSK 2025","Thu Jul 03 12:54:23 MSK 2025","12291","","tests.GoToAccountTest","","tests.GoToAccountTest","GoToPersonalAccountWithoutAuthUserTest","Нажатие на кнопку Личный кабинет, если пользователь не авторизован","Проверка перехода в Личный кабинет"
"passed","Thu Jul 03 12:55:47 MSK 2025","Thu Jul 03 12:55:59 MSK 2025","11801","","tests.RegistrationTest","","tests.RegistrationTest","registerWithIncorrectPasswordTest","Проверка ошибки для некорректного пароля","Проверка регистрации пользователя"
"passed","Thu Jul 03 12:55:32 MSK 2025","Thu Jul 03 12:55:47 MSK 2025","15404","","tests.RegistrationTest","","tests.RegistrationTest","successRegisterTest","Успешная регистрация","Проверка регистрации пользователя"
"passed","Thu Jul 03 12:53:39 MSK 2025","Thu Jul 03 12:53:56 MSK 2025","16670","","tests.ConstructorTest","","tests.ConstructorTest","clickLogoBurgerTest","Нажатие в личном кабинете на логотип бургерной","Проверка перехода на главную страницу"
"passed","Thu Jul 03 12:57:01 MSK 2025","Thu Jul 03 12:57:11 MSK 2025","10867","","tests.SwitchingBetweenSectionsConstructorTest","","tests.SwitchingBetweenSectionsConstructorTest","switchingSectionsFillingsToSaucesTest","Переход к разделу Соусы из раздела Начинки","Тест перехода между разделами в конструкторе бургера"
"passed","Thu Jul 03 12:54:50 MSK 2025","Thu Jul 03 12:55:03 MSK 2025","13431","","tests.LoginTest","","tests.LoginTest","loginToLoginButtonTest","Вход по кнопке ""Войти в аккаунт"" на главной странице","Проверка авторизации пользователя"
"passed","Thu Jul 03 12:52:49 MSK 2025","Thu Jul 03 12:53:39 MSK 2025","49589","","tests.ConstructorTest","","tests.ConstructorTest","goPersonalAccountToConstructorTest","Нажатие в личном кабинете на конструктор","Проверка перехода в конструктор"
"failed","Thu Jul 03 12:56:51 MSK 2025","Thu Jul 03 12:57:01 MSK 2025","9359","","tests.SwitchingBetweenSectionsConstructorTest","","tests.SwitchingBetweenSectionsConstructorTest","switchingSectionsBunsToFillingsTest","Переход к разделу Начинки из раздела Булки","Тест перехода между разделами в конструкторе бургера"
"passed","Thu Jul 03 12:55:17 MSK 2025","Thu Jul 03 12:55:32 MSK 2025","14738","","tests.LogoutTest","","tests.LogoutTest","logoutUserTest","LogOut нажатием кнопки Выход в Личном кабинете","Проверка выхода пользователя"
"passed","Thu Jul 03 12:55:59 MSK 2025","Thu Jul 03 12:56:19 MSK 2025","19931","","tests.SwitchingBetweenSectionsConstructorTest","","tests.SwitchingBetweenSectionsConstructorTest","switchingSectionsBunsToSaucesTest","Переход к разделу Соусы из раздела Булки","Тест перехода между разделами в конструкторе бургера"
"passed","Thu Jul 03 12:56:29 MSK 2025","Thu Jul 03 12:56:41 MSK 2025","12044","","tests.SwitchingBetweenSectionsConstructorTest","","tests.SwitchingBetweenSectionsConstructorTest","switchingSectionsSaucesToBunsTest","Переход к разделу Булки из раздела Соусы","Тест перехода между разделами в конструкторе бургера"
"passed","Thu Jul 03 12:54:23 MSK 2025","Thu Jul 03 12:54:36 MSK 2025","13425","","tests.LoginTest","","tests.LoginTest","loginButtonOnRecoveryPasswordPageTest","Вход через кнопку в форме восстановления пароля","Проверка авторизации пользователя"
"passed","Thu Jul 03 12:54:37 MSK 2025","Thu Jul 03 12:54:50 MSK 2025","13058","","tests.LoginTest","","tests.LoginTest","loginToPersonalAccountButtonTest","Вход через кнопку ""Личный кабинет""","Проверка авторизации пользователя"
"passed","Thu Jul 03 12:55:03 MSK 2025","Thu Jul 03 12:55:17 MSK 2025","13833","","tests.LoginTest","","tests.LoginTest","loginEnterButtonOnRegisterPageTest","Вход через кнопку в форме регистрации","Проверка авторизации пользователя"
